MSSubClass,LotArea,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,MoSold,SaleCondition,SalePrice
60,11645,Norm,1Fam,2Story,7,5,860,Y,860,860,1720,0,0,2,1,3,7,0,2,565,8,Normal,196500
60,13682,Norm,1Fam,2Story,10,5,1410,Y,1426,1519,2945,0,0,3,1,3,10,1,3,641,10,Partial,438780
20,7200,Norm,1Fam,1Story,5,7,780,Y,780,0,780,0,0,1,0,2,4,0,1,352,1,Normal,124900
20,13072,RRAe,1Fam,1Story,6,5,1158,Y,1158,0,1158,1,0,1,1,3,5,0,2,576,5,Partial,158000
75,7200,Norm,1Fam,2.5Unf,5,7,530,N,581,530,1111,0,0,1,0,3,6,0,1,288,3,Normal,101000
120,6442,Norm,TwnhsE,1Story,8,5,1370,Y,1370,0,1370,0,0,2,0,2,6,1,2,484,10,Normal,202500
70,10300,RRAn,1Fam,2Story,7,6,576,Y,902,808,1710,0,0,2,0,3,9,0,2,480,4,Normal,140000
60,9375,Norm,1Fam,2Story,7,5,1057,Y,1057,977,2034,1,0,2,1,3,8,0,2,645,2,Normal,219500
60,9591,Norm,1Fam,2Story,8,5,1143,Y,1143,1330,2473,0,0,2,1,4,9,1,3,852,10,Normal,317000
20,19900,PosA,1Fam,1Story,7,5,1947,Y,2207,0,2207,1,0,2,0,3,7,1,2,576,7,Normal,180000
20,10665,Norm,1Fam,1Story,7,5,1453,Y,1479,0,1479,1,0,2,0,3,7,0,2,558,6,Normal,226000
30,4608,Artery,1Fam,1Story,4,6,747,Y,747,0,747,0,0,1,0,2,4,0,1,220,6,Normal,80000
50,15593,Norm,1Fam,1.5Fin,7,4,1304,Y,1304,983,2287,0,0,2,0,3,7,1,2,667,7,Normal,225000
20,13651,Norm,1Fam,1Story,7,6,2223,Y,2223,0,2223,1,0,2,0,3,8,2,2,516,2,Normal,244000
20,7599,Norm,1Fam,1Story,4,6,845,Y,845,0,845,1,0,1,0,2,4,0,2,360,6,Normal,129500
60,10141,Norm,1Fam,2Story,7,5,832,Y,885,833,1718,0,0,2,1,3,7,1,2,427,12,Normal,185000
20,10200,Norm,1Fam,1Story,5,7,1086,Y,1086,0,1086,1,0,1,0,3,6,0,2,490,5,Normal,144900
50,5790,Norm,1Fam,2Story,3,6,840,N,840,765,1605,0,0,2,0,3,8,0,1,379,5,Normal,107400
180,1596,Norm,Twnhs,SLvl,4,5,462,Y,526,462,988,1,0,1,0,2,5,0,1,297,11,Normal,91000
20,8475,Norm,1Fam,1Story,4,7,952,Y,952,0,952,0,0,1,0,2,4,0,1,283,4,Normal,135750
50,8635,Norm,1Fam,1.5Fin,5,5,672,Y,1072,213,1285,1,0,1,0,2,6,0,1,240,1,Normal,127000
90,10778,Norm,Duplex,1Story,4,5,1768,N,1768,0,1768,0,0,2,0,4,8,0,0,0,4,Normal,136500
50,10440,Norm,1Fam,2Story,5,6,440,Y,682,548,1230,0,0,1,1,2,5,0,2,440,5,Normal,110000
60,13000,Norm,1Fam,2Story,6,6,896,Y,1182,960,2142,0,0,2,1,4,8,1,1,509,6,Normal,193500
120,4500,Norm,TwnhsE,1Story,6,5,1237,Y,1337,0,1337,1,0,2,0,2,5,0,2,405,3,Normal,153500
20,10206,Norm,1Fam,1Story,8,5,1563,Y,1563,0,1563,0,0,2,0,3,6,1,3,758,10,Normal,245000
20,8892,Norm,1Fam,1Story,5,5,1065,Y,1065,0,1065,0,0,1,1,3,6,0,2,461,7,Normal,126500
80,8530,Norm,1Fam,SLvl,7,5,384,Y,804,670,1474,0,0,2,1,3,7,1,2,400,5,Normal,168500
60,16059,Norm,1Fam,2Story,8,5,1288,Y,1301,1116,2417,0,0,2,1,4,9,1,2,462,4,Normal,260000
60,11911,Norm,1Fam,2Story,6,5,684,Y,684,876,1560,0,0,2,1,3,6,1,2,400,3,Normal,174000
160,3951,Norm,TwnhsE,2Story,6,5,612,Y,612,612,1224,0,0,2,1,2,4,0,2,528,6,Partial,164500
50,8470,Feedr,1Fam,1.5Fin,3,2,1013,N,1013,0,1526,0,0,1,0,2,6,0,0,0,10,Abnorml,85000
20,8070,Norm,1Fam,1Story,4,5,990,Y,990,0,990,1,0,1,0,3,5,0,0,0,8,Normal,123600
20,7200,Norm,1Fam,1Story,4,5,0,Y,1040,0,1040,0,0,1,0,2,4,0,2,420,7,Normal,109900
20,8500,Norm,1Fam,1Story,5,3,1235,Y,1235,0,1235,0,0,1,0,2,6,0,2,480,12,Abnorml,98600
30,13360,Norm,1Fam,1Story,5,7,876,Y,964,0,964,1,0,1,0,2,5,0,2,432,8,Normal,163500
190,7200,Norm,2fmCon,2.5Unf,6,6,1214,N,1260,1031,2291,0,1,2,0,4,9,1,2,506,11,Normal,133900
60,9337,Norm,1Fam,2Story,6,5,824,Y,905,881,1786,1,0,2,1,3,7,0,2,684,5,Normal,204750
60,9765,Norm,1Fam,2Story,6,8,680,Y,680,790,1470,0,0,2,1,3,6,1,2,420,4,Normal,185000
20,10264,Norm,1Fam,1Story,7,5,1588,Y,1588,0,1588,0,0,2,0,3,6,0,2,472,8,Normal,214000
20,10921,Norm,1Fam,1Story,4,5,960,Y,960,0,960,1,0,1,0,3,6,0,1,432,5,Normal,94750
30,10625,Norm,1Fam,1Story,5,5,458,N,835,0,835,0,0,1,0,2,5,0,1,366,5,Abnorml,83000
20,9320,Norm,1Fam,1Story,4,5,950,Y,1225,0,1225,1,0,1,1,3,6,0,0,0,1,Normal,128950
20,10603,Norm,1Fam,1Story,6,7,1610,Y,1610,0,1610,1,0,2,0,3,6,2,2,480,2,Normal,205000
60,9206,Norm,1Fam,2Story,6,5,741,Y,977,755,1732,0,0,2,1,3,7,1,2,476,6,Normal,178000
90,7018,Norm,Duplex,1Story,5,5,0,Y,1535,0,1535,0,0,2,0,4,8,0,2,410,6,Alloca,118964
20,10402,Norm,1Fam,1Story,7,5,1226,Y,1226,0,1226,0,0,2,0,3,6,0,3,740,5,Normal,198900
50,7758,Norm,1Fam,1.5Fin,7,4,1040,Y,1226,592,1818,0,0,1,1,4,7,2,1,240,6,Normal,169500
60,9375,Norm,1Fam,2Story,8,5,1053,Y,1053,939,1992,0,0,2,1,3,9,1,2,648,8,Normal,250000
30,10800,Norm,1Fam,1Story,4,7,641,Y,1047,0,1047,0,0,1,0,2,6,0,1,273,8,Normal,100000
20,6000,Norm,1Fam,1Story,5,5,789,Y,789,0,789,0,0,1,0,2,5,0,1,250,4,Partial,115000
50,8500,Artery,1Fam,1.5Fin,5,7,793,N,997,520,1517,0,0,2,0,3,7,0,0,0,8,Normal,115000
20,11751,Norm,1Fam,1Story,6,6,1844,Y,1844,0,1844,0,0,2,0,3,7,1,2,546,1,Normal,190000
50,9525,Norm,1Fam,1.5Fin,6,4,994,Y,1216,639,1855,0,0,2,0,4,7,0,1,325,10,Normal,136900
80,7750,Norm,1Fam,SLvl,7,5,384,Y,774,656,1430,0,0,2,1,3,7,1,2,400,4,Normal,180000
60,9965,Norm,1Fam,2Story,7,5,1264,Y,1282,1414,2696,1,0,2,1,4,10,1,3,792,10,Partial,383970
20,21000,Norm,1Fam,1Story,6,5,1809,Y,2259,0,2259,1,0,2,0,3,7,2,2,450,10,Abnorml,217000
70,7259,Norm,1Fam,2Story,6,8,1028,Y,1436,884,2320,1,0,2,1,3,9,1,1,180,7,Normal,259500
160,3230,Norm,TwnhsE,2Story,6,5,729,Y,729,729,1458,0,0,2,1,2,5,1,2,440,6,Normal,176000
20,11616,Norm,1Fam,1Story,5,5,1092,Y,1092,0,1092,0,1,1,0,3,6,1,1,288,9,Normal,139000
20,8536,Norm,1Fam,1Story,5,5,1125,Y,1125,0,1125,0,0,1,1,2,5,0,2,430,4,Partial,155000
60,12376,Norm,1Fam,2Story,7,5,1673,Y,1699,1523,3222,1,0,3,0,5,11,2,3,594,5,Normal,320000
60,8461,Norm,1Fam,2Story,6,5,728,Y,728,728,1456,0,0,2,1,3,8,1,2,390,7,Partial,163990
80,21453,Norm,1Fam,SLvl,6,5,938,Y,988,0,988,1,0,1,0,1,4,2,2,540,10,Normal,180000
50,6060,Norm,1Fam,1.5Fin,4,5,732,Y,772,351,1123,0,0,1,0,3,4,0,1,264,6,Normal,100000
20,9464,Norm,1Fam,1Story,6,7,1080,Y,1080,0,1080,0,0,1,0,3,5,0,1,288,6,Normal,136000
120,7892,Norm,TwnhsE,1Story,6,5,1199,Y,1199,0,1199,0,0,2,0,2,5,0,2,530,3,Normal,153900
20,17043,Norm,1Fam,1Story,6,5,1362,Y,1586,0,1586,0,0,2,0,3,7,1,2,435,1,Normal,181000
190,6780,Norm,2fmCon,1.5Fin,6,8,520,N,520,0,754,1,0,1,0,2,5,0,0,0,6,Normal,84500
120,4928,Norm,TwnhsE,1Story,6,5,1078,Y,958,0,958,0,0,2,0,2,5,1,2,440,2,Normal,128000
45,4388,Feedr,1Fam,1.5Unf,5,7,672,Y,840,0,840,0,0,1,0,3,5,1,0,0,6,Normal,87000
60,7590,PosN,1Fam,2Story,6,5,660,Y,660,688,1348,0,0,1,1,3,6,1,2,453,7,Normal,155000
20,8973,Norm,1Fam,1Story,5,7,1008,Y,1053,0,1053,0,1,1,1,3,6,0,2,750,7,Abnorml,150000
60,14200,Norm,1Fam,2Story,7,6,924,Y,1216,941,2157,0,0,2,1,4,8,2,2,487,5,Normal,226000
60,12224,Norm,1Fam,2Story,6,5,992,Y,1022,1032,2054,1,0,2,1,3,7,1,2,390,7,Normal,244000
20,7388,Norm,1Fam,1Story,5,6,1063,Y,1327,0,1327,1,0,1,0,3,7,0,2,624,7,Normal,150750
20,6853,Norm,1Fam,1Story,8,5,1267,Y,1296,0,1296,1,0,2,0,2,6,0,2,471,6,Normal,220000
20,10335,Norm,1Fam,1Story,5,6,1461,Y,1721,0,1721,0,0,2,1,3,7,1,2,440,7,Normal,180000
20,10400,Norm,1Fam,1Story,7,6,1304,Y,1682,0,1682,0,0,2,0,3,7,1,2,530,5,Normal,174000
20,10355,Norm,1Fam,1Story,5,5,1214,Y,1214,0,1214,0,0,2,0,3,5,1,1,318,7,Normal,143000
90,11070,Norm,Duplex,1Story,7,5,1907,Y,1959,0,1959,0,0,3,0,5,9,0,3,766,7,Family,171000
60,9066,Norm,1Fam,2Story,8,5,1004,Y,1004,848,1852,0,0,2,1,3,7,2,3,660,12,Normal,230000
60,15426,Norm,1Fam,2Story,6,5,928,Y,928,836,1764,1,0,2,1,3,7,0,2,470,8,Normal,231500
20,10500,Norm,1Fam,1Story,4,5,864,Y,864,0,864,0,0,1,0,3,5,1,0,0,4,Normal,115000
20,11645,Norm,1Fam,1Story,7,5,1734,Y,1734,0,1734,1,0,2,0,3,7,0,2,660,1,Normal,260000
50,8520,Artery,1Fam,1.5Fin,5,4,910,Y,910,475,1385,0,0,2,0,4,6,0,2,720,6,Normal,166000
20,10335,Norm,1Fam,1Story,7,5,1490,Y,1501,0,1501,1,0,2,0,3,6,0,2,577,6,Normal,204000
90,9100,RRAe,Duplex,1Story,5,5,1728,Y,1728,0,1728,1,0,2,0,6,10,0,2,504,11,Abnorml,125000
160,2522,Norm,Twnhs,2Story,6,5,970,Y,970,739,1709,0,0,2,0,3,7,0,2,380,4,Normal,130000
30,6120,Norm,1Fam,1Story,5,7,715,Y,875,0,875,1,0,1,0,2,5,0,1,180,11,Normal,105000
60,9505,Norm,1Fam,2Story,7,5,884,Y,884,1151,2035,0,0,2,1,3,8,1,2,434,5,Normal,222500
20,7500,Norm,1Fam,1Story,7,5,1080,Y,1080,0,1080,1,0,1,0,3,6,0,0,0,4,Normal,141000
50,6240,Norm,1Fam,1.5Fin,5,4,896,Y,896,448,1344,0,0,1,0,3,7,0,1,240,4,Normal,115000
20,10356,Norm,1Fam,1Story,5,6,969,Y,969,0,969,0,0,1,1,3,5,0,2,440,1,Normal,122000
20,13891,Norm,1Fam,1Story,8,5,1710,Y,1710,0,1710,1,0,2,0,2,6,1,3,866,1,Partial,372402
60,14803,Norm,1Fam,2Story,6,5,825,Y,1097,896,1993,0,0,2,1,4,8,1,2,495,6,Normal,190000
20,13500,Norm,1Fam,1Story,6,7,1602,Y,1252,0,1252,1,0,1,0,1,4,1,2,564,3,Normal,235000
30,11340,Norm,1Fam,1Story,6,5,1200,Y,1200,0,1200,0,0,1,0,4,7,0,1,312,3,Family,125000
50,9600,Artery,1Fam,1.5Fin,6,5,572,N,572,524,1096,0,0,1,0,2,5,0,0,0,4,Normal,79000
20,7200,Norm,1Fam,1Story,5,7,0,Y,1040,0,1040,0,0,1,0,2,5,0,2,625,6,Normal,109500
60,12003,Norm,1Fam,2Story,8,5,774,Y,774,1194,1968,0,0,2,1,4,8,1,3,680,5,Partial,269500
60,12552,Norm,1Fam,2Story,7,5,991,Y,991,956,1947,0,0,2,1,3,8,1,2,678,5,Normal,254900
60,19378,Norm,1Fam,2Story,7,5,1392,Y,1392,1070,2462,1,0,2,1,4,9,1,2,576,3,Partial,320000
20,11120,Norm,1Fam,1Story,6,6,1232,Y,1232,0,1232,0,0,2,0,3,6,0,2,516,6,Normal,162500
60,13688,Norm,1Fam,2Story,9,5,1572,Y,1572,1096,2668,1,0,2,1,3,10,2,3,726,3,Normal,412500
20,12182,Norm,1Fam,1Story,7,5,1541,Y,1541,0,1541,0,0,2,0,3,7,1,2,532,5,Partial,220000
45,5500,Norm,1Fam,1.5Unf,4,6,882,Y,882,0,882,0,0,1,0,1,4,0,0,0,4,Normal,103200
40,5400,Norm,1Fam,1Story,6,7,1149,Y,1149,467,1616,0,0,2,0,3,5,0,1,216,10,Normal,152000
190,10106,Norm,2fmCon,1.5Fin,5,7,644,Y,808,547,1355,1,0,2,0,4,6,0,0,0,9,Normal,127500
20,10708,Norm,1Fam,1Story,5,5,1617,Y,1867,0,1867,1,0,1,0,2,7,3,1,303,11,Normal,190000
60,10562,Norm,1Fam,2Story,8,5,1582,Y,1610,551,2161,1,0,1,1,3,8,1,3,789,11,Partial,325624
60,8244,Norm,1Fam,2Story,7,5,840,Y,840,880,1720,0,0,2,1,3,7,1,2,440,5,Normal,183500
20,16669,Norm,1Fam,1Story,8,6,1686,Y,1707,0,1707,0,0,2,1,2,6,1,2,511,1,Normal,228000
50,12358,Feedr,1Fam,1.5Fin,5,6,720,Y,854,0,1382,0,0,1,1,2,7,0,2,660,5,Normal,128500
20,31770,Norm,1Fam,1Story,6,5,1080,Y,1656,0,1656,1,0,1,0,3,7,2,2,528,5,Normal,215000
160,5306,Norm,TwnhsE,2Story,7,7,1064,Y,1064,703,1767,1,0,2,0,2,5,1,2,504,6,Normal,239000
20,10197,Norm,1Fam,1Story,6,5,1362,Y,1362,0,1362,1,0,1,1,3,6,1,2,504,6,Normal,163000
20,12416,Norm,1Fam,1Story,6,5,1606,Y,1651,0,1651,1,0,2,0,3,7,1,2,616,11,Normal,184000
20,12615,Norm,1Fam,1Story,6,7,1202,Y,2158,0,2158,1,0,2,0,4,7,1,2,576,6,Normal,243000
60,10029,Norm,1Fam,2Story,6,5,1151,Y,1164,896,2060,0,1,2,1,4,8,1,2,521,9,Normal,211000
50,13650,Norm,1Fam,1.5Fin,5,5,1052,Y,1252,668,1920,1,0,2,0,4,8,1,2,451,7,Normal,172500
20,17423,Norm,1Fam,1Story,9,5,2216,Y,2234,0,2234,1,0,2,0,1,9,1,3,1166,7,Partial,501837
30,8520,Norm,1Fam,1Story,5,6,968,Y,968,0,968,0,0,1,0,2,5,0,2,480,7,Normal,100000
160,2117,Norm,Twnhs,2Story,6,5,756,Y,769,756,1525,0,0,2,1,3,5,1,2,440,6,Normal,177000
70,7588,Norm,1Fam,2Story,7,6,793,Y,901,901,1802,0,0,1,1,4,9,1,1,216,7,Normal,200100
20,9060,Artery,1Fam,1Story,5,6,0,Y,1340,0,1340,0,0,1,0,3,7,1,1,252,6,Normal,120000
50,11426,Norm,1Fam,1.5Fin,7,5,1362,Y,1362,720,2082,0,0,2,1,3,6,0,2,484,6,Normal,200000
50,7438,RRAn,1Fam,1.5Fin,5,8,504,Y,936,316,1252,0,0,1,0,3,5,0,2,576,6,Normal,127000
75,22950,Artery,1Fam,2.5Fin,10,9,1107,Y,1518,1518,3608,0,0,2,1,4,12,2,3,840,6,Normal,475000
80,9947,Norm,1Fam,SLvl,7,5,1188,Y,1217,0,1217,1,0,2,0,3,6,0,2,497,6,Normal,173000
50,10410,Norm,1Fam,1.5Fin,5,7,660,Y,808,704,1656,0,0,2,1,3,8,0,1,180,8,Normal,135000
90,7018,Feedr,Duplex,SFoyer,5,5,1086,Y,1224,0,1224,2,0,0,2,2,6,2,2,528,6,Alloca,153337
120,4923,Norm,TwnhsE,1Story,8,5,1593,Y,1593,0,1593,1,0,1,1,0,5,1,2,682,8,Normal,286000
70,10570,Norm,1Fam,2Story,8,8,853,Y,1549,1178,2727,0,0,2,1,3,10,2,2,440,12,Normal,315000
60,7472,Norm,1Fam,2Story,7,9,725,Y,725,754,1479,1,0,1,1,4,7,0,2,484,6,Normal,184000
20,9017,Norm,1Fam,1Story,7,5,1431,Y,1431,0,1431,1,0,2,0,3,6,0,2,666,9,Normal,192000
160,2522,Norm,Twnhs,2Story,7,5,970,Y,970,739,1709,0,0,2,0,3,7,0,2,380,5,Normal,130000
20,7180,Norm,1Fam,1Story,5,7,864,Y,864,0,864,0,0,1,0,3,5,0,1,352,5,Normal,127000
160,2280,Norm,Twnhs,2Story,6,6,855,Y,855,601,1456,0,0,2,1,3,7,1,2,440,7,Normal,148500
20,9416,Norm,1Fam,1Story,7,5,1726,Y,1726,0,1726,1,0,2,0,3,8,1,3,786,9,Partial,311872
75,25419,Artery,1Fam,2Story,8,4,1360,Y,1360,1360,3112,1,1,2,0,4,8,1,2,795,3,Abnorml,235000
75,5520,Norm,1Fam,2.5Fin,6,6,755,Y,929,929,2229,0,0,1,0,5,8,0,0,0,7,Abnorml,104000
20,9591,Norm,1Fam,1Story,8,5,1713,Y,1713,0,1713,1,0,2,0,3,7,1,3,856,1,Normal,274900
20,8546,Norm,1Fam,1Story,4,5,1121,Y,1121,0,1121,0,0,2,0,2,5,0,2,440,3,Normal,140000
20,10125,Norm,1Fam,1Story,6,6,1196,Y,1279,0,1279,0,1,2,0,3,6,2,2,473,2,Normal,171500
50,7000,Artery,1Fam,1.5Fin,6,6,617,Y,865,445,1310,0,0,2,0,2,6,0,1,398,5,Normal,112000
120,4438,Norm,TwnhsE,1Story,6,5,848,Y,848,0,848,1,0,1,0,1,3,1,2,420,1,Normal,149000
50,3500,Norm,1Fam,1.5Fin,5,7,720,Y,720,564,1284,0,0,1,1,2,5,0,1,240,4,Normal,110000
20,11851,Norm,1Fam,1Story,7,5,1424,Y,1442,0,1442,0,0,2,0,3,5,0,2,500,5,Normal,180500
20,13673,RRAe,1Fam,1Story,5,5,1140,Y,1696,0,1696,0,0,1,1,3,8,1,1,349,3,Normal,143900
20,12493,Norm,1Fam,1Story,4,5,1100,Y,1100,0,1100,1,0,1,0,3,6,1,1,312,4,Normal,141000
60,14364,Norm,1Fam,2Story,7,5,1157,Y,1180,882,2062,1,0,2,1,3,7,1,2,454,4,Normal,277000
20,8250,Norm,1Fam,1Story,6,7,1092,Y,1092,0,1092,1,0,1,0,3,6,0,2,504,7,Normal,145000
30,5604,Norm,1Fam,1Story,5,6,864,N,864,0,864,1,0,1,0,2,5,0,0,0,4,Normal,98000
20,10420,Norm,1Fam,1Story,6,5,1212,Y,1212,0,1212,0,0,2,0,3,6,0,2,460,3,Normal,186000
60,8640,Norm,1Fam,2Story,7,5,900,Y,932,920,1852,1,0,2,1,3,7,1,2,644,7,Partial,252678
20,13568,Norm,1Fam,1Story,5,5,990,Y,990,0,990,0,1,1,0,3,5,0,2,576,7,Normal,156000
60,10900,Norm,1Fam,2Story,6,7,689,Y,689,703,1392,0,0,1,1,3,6,0,1,299,3,Normal,161750
20,10011,Norm,1Fam,1Story,5,6,1070,Y,1236,0,1236,0,1,1,0,2,6,1,1,447,5,Normal,134450
20,8450,Norm,1Fam,1Story,7,5,1436,Y,1436,0,1436,1,0,2,0,3,8,0,2,484,4,Normal,210000
