Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019]
American Samoa,ASM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,..,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,55465,..
American Samoa,ASM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,..,..
American Samoa,ASM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
American Samoa,ASM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,..,..
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3236543909.34844,..
Andorra,AND,GDP (constant LCU),NY.GDP.MKTP.KN,2002840000,..
Andorra,AND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..
Andorra,AND,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,..,..
Andorra,AND,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,..,..
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,77006,..
Andorra,AND,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,..,..
Andorra,AND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.22691,..
Andorra,AND,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,..,..
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,105750987618.63,..
Angola,AGO,GDP (constant LCU),NY.GDP.MKTP.KN,1552771000000,..
Angola,AGO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,198795526982.065,..
Angola,AGO,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,7.62200021743774,7.59499979019165
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,6.88199996948242,6.89400005340576
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.25299978256226,7.24599981307983
Angola,AGO,"Population, total",SP.POP.TOTL,30809762,..
Angola,AGO,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,38.515297744971,..
Angola,AGO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Angola,AGO,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.21637364776329,..
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1610574074.07407,..
Antigua and Barbuda,ATG,GDP (constant LCU),NY.GDP.MKTP.KN,3516470000,..
Antigua and Barbuda,ATG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2587025104.47674,..
Antigua and Barbuda,ATG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,..,..
Antigua and Barbuda,ATG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,..,..
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,96286,..
Antigua and Barbuda,ATG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,..,..
Antigua and Barbuda,ATG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Antigua and Barbuda,ATG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,8.79982551980558,..
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,519871519807.795,..
Argentina,ARG,GDP (constant LCU),NY.GDP.MKTP.KN,707329642300,..
Argentina,ARG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,917056983548.118,..
Argentina,ARG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,10.7880001068115,11.2609996795654
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,8.54399967193604,9.06900024414063
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.48299980163574,9.98499965667725
Argentina,ARG,"Population, total",SP.POP.TOTL,44494502,..
Argentina,ARG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,36.6134837504002,..
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Argentina,ARG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,11.1177888760774,..
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,12433089919.0459,..
Armenia,ARM,GDP (constant LCU),NY.GDP.MKTP.KN,5339485715500,..
Armenia,ARM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,30530737470.7951,..
Armenia,ARM,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,17.8990001678467,18.2660007476807
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,17.55299949646,17.2320003509521
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17.7119998931885,17.7070007324219
Armenia,ARM,"Population, total",SP.POP.TOTL,2951776,..
Armenia,ARM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,57.9567675616692,..
Armenia,ARM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Armenia,ARM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,11.2538176570131,..
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,..,..
Aruba,ABW,GDP (constant LCU),NY.GDP.MKTP.KN,..,..
Aruba,ABW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..
Aruba,ABW,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,..,..
Aruba,ABW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,..,..
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..
Aruba,ABW,"Population, total",SP.POP.TOTL,105845,..
Aruba,ABW,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,..,..
Aruba,ABW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Aruba,ABW,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,13.5509471396854,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1433904348500.12,..
Australia,AUS,GDP (constant LCU),NY.GDP.MKTP.KN,1849880000000,..
Australia,AUS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1291189884232.08,..
Australia,AUS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,5.44500017166138,5.43900012969971
Australia,AUS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,5.33699989318848,5.23199987411499
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.38700008392334,5.32800006866455
Australia,AUS,"Population, total",SP.POP.TOTL,24992369,..
Australia,AUS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,22.2933745854429,..
Australia,AUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Australia,AUS,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,15.6564752275591,..
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,455285818035.125,..
Austria,AUT,GDP (constant LCU),NY.GDP.MKTP.KN,368856790000,..
Austria,AUT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,490609688001.231,..
Austria,AUT,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,4.72300004959106,4.6399998664856
Austria,AUT,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,4.84000015258789,4.63100004196167
Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.78599977493286,4.63500022888184
Austria,AUT,"Population, total",SP.POP.TOTL,8847037,..
Austria,AUT,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,36.8497527026846,..
Austria,AUT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Austria,AUT,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,19.0015664595899,..
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,46939529411.7647,..
Azerbaijan,AZE,GDP (constant LCU),NY.GDP.MKTP.KN,29031585000,..
Azerbaijan,AZE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,179400834646.209,..
Azerbaijan,AZE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,6.05399990081787,6.19099998474121
Azerbaijan,AZE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,4.42500019073486,4.63899993896484
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.21999979019165,5.39599990844727
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9942334,..
Azerbaijan,AZE,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,41.2892628685675,..
Azerbaijan,AZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Azerbaijan,AZE,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,6.19518275071493,..
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,12424500000,..
"Bahamas, The",BHS,GDP (constant LCU),NY.GDP.MKTP.KN,10763340000,..
"Bahamas, The",BHS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,12374311871.2356,..
"Bahamas, The",BHS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,13.4420003890991,12.914999961853
"Bahamas, The",BHS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,10.451000213623,10.2600002288818
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.8500003814697,11.5019998550415
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,385640,..
"Bahamas, The",BHS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,..,..
"Bahamas, The",BHS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
"Bahamas, The",BHS,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,7.25760235662035,..
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,37746196808.5106,..
Bahrain,BHR,GDP (constant LCU),NY.GDP.MKTP.KN,12651000000,..
Bahrain,BHR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,74239249144.6626,..
Bahrain,BHR,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,3.53699994087219,3.66599988937378
Bahrain,BHR,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,0.296000003814697,0.28600001335144
Bahrain,BHR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.962000012397766,0.967999994754791
Bahrain,BHR,"Population, total",SP.POP.TOTL,1569439,..
Bahrain,BHR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,40.2932266708532,..
Bahrain,BHR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Bahrain,BHR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.42633387832394,..
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,274024958965.892,..
Bangladesh,BGD,GDP (constant LCU),NY.GDP.MKTP.KN,10224374000000,..
Bangladesh,BGD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,705409067990.49,..
Bangladesh,BGD,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,6.51300001144409,6.43100023269653
Bangladesh,BGD,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,3.33800005912781,3.34699988365173
Bangladesh,BGD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.30800008773804,4.29300022125244
Bangladesh,BGD,"Population, total",SP.POP.TOTL,161356039,..
Bangladesh,BGD,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,33.1231636140144,..
Bangladesh,BGD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.98602,..
Bangladesh,BGD,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.15839063962068,..
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,5145000000,..
Barbados,BRB,GDP (constant LCU),NY.GDP.MKTP.KN,9183000000,..
Barbados,BRB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,5318374171.63194,..
Barbados,BRB,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,9.99400043487549,10.0170001983643
Barbados,BRB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,9.14299964904785,9.15999984741211
Barbados,BRB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.56799983978271,9.58800029754639
Barbados,BRB,"Population, total",SP.POP.TOTL,286641,..
Barbados,BRB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,..,..
Barbados,BRB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Barbados,BRB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,15.8026939621338,..
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,59662495092.2654,..
Belarus,BLR,GDP (constant LCU),NY.GDP.MKTP.KN,79810400000,..
Belarus,BLR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,189658434681.797,..
Belarus,BLR,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,4.13899993896484,4.19899988174438
Belarus,BLR,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,7.26100015640259,7.375
Belarus,BLR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.70800018310547,5.79500007629395
Belarus,BLR,"Population, total",SP.POP.TOTL,9485386,..
Belarus,BLR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,26.89016113799,..
Belarus,BLR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Belarus,BLR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,14.8451481743098,..
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,542761092103.469,..
Belgium,BEL,GDP (constant LCU),NY.GDP.MKTP.KN,437596900000,..
Belgium,BEL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,587185652753.001,..
Belgium,BEL,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,6.39499998092651,6.56400012969971
Belgium,BEL,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,6.26200008392334,6.33699989318848
Belgium,BEL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.32299995422363,6.44099998474121
Belgium,BEL,"Population, total",SP.POP.TOTL,11422068,..
Belgium,BEL,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,18.3094284564919,..
Belgium,BEL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Belgium,BEL,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,18.7887437383395,..
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1871203164.08274,..
Belize,BLZ,GDP (constant LCU),NY.GDP.MKTP.KN,2894730930,..
Belize,BLZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3312832024.54119,..
Belize,BLZ,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,15.3290004730225,15.3959999084473
Belize,BLZ,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,5.36299991607666,5.50400018692017
Belize,BLZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.36800003051758,9.49699974060059
Belize,BLZ,"Population, total",SP.POP.TOTL,383071,..
Belize,BLZ,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,..,..
Belize,BLZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Belize,BLZ,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.73645877657144,..
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,10354274634.9108,..
Benin,BEN,GDP (constant LCU),NY.GDP.MKTP.KN,4630958467500,..
Benin,BEN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,27848437265.8723,..
Benin,BEN,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,2.23200011253357,2.1010000705719
Benin,BEN,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,2.02099990844727,1.95200002193451
Benin,BEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.125,2.02500009536743
Benin,BEN,"Population, total",SP.POP.TOTL,11485048,..
Benin,BEN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,17.0698953919223,..
Benin,BEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.03814,..
Benin,BEN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.25360529746338,..
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,..,..
Bermuda,BMU,GDP (constant LCU),NY.GDP.MKTP.KN,..,..
Bermuda,BMU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..
Bermuda,BMU,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,..,..
Bermuda,BMU,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,..,..
Bermuda,BMU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..
Bermuda,BMU,"Population, total",SP.POP.TOTL,63968,..
Bermuda,BMU,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,..,..
Bermuda,BMU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Bermuda,BMU,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,..,..
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2446674101.3737,..
Bhutan,BTN,GDP (constant LCU),NY.GDP.MKTP.KN,68015792467.6089,..
Bhutan,BTN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,7670628444.7596,..
Bhutan,BTN,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,3.01999998092651,2.8970000743866
Bhutan,BTN,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,1.64600002765656,1.70799994468689
Bhutan,BTN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.19700002670288,2.18700003623962
Bhutan,BTN,"Population, total",SP.POP.TOTL,754394,..
Bhutan,BTN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,..,..
Bhutan,BTN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.64043,..
Bhutan,BTN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,6.00301171280561,..
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,40287647756.8741,..
Bolivia,BOL,GDP (constant LCU),NY.GDP.MKTP.KN,48188731000,..
Bolivia,BOL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,89385174346.499,..
Bolivia,BOL,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,3.98499989509583,3.96199989318848
Bolivia,BOL,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,2.73200011253357,2.76200008392334
Bolivia,BOL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.25799989700317,3.26600003242493
Bolivia,BOL,"Population, total",SP.POP.TOTL,11353142,..
Bolivia,BOL,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,23.0158036386824,..
Bolivia,BOL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Bolivia,BOL,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,7.19194739218447,..
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,20161865419.4327,..
Bosnia and Herzegovina,BIH,GDP (constant LCU),NY.GDP.MKTP.KN,31207030720.478,..
Bosnia and Herzegovina,BIH,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,48608054272.2858,..
Bosnia and Herzegovina,BIH,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,23.9160003662109,24.2940006256104
Bosnia and Herzegovina,BIH,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,18.8689994812012,19.2509994506836
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,20.8390007019043,21.2180004119873
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3323929,..
Bosnia and Herzegovina,BIH,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,21.3625961100753,..
Bosnia and Herzegovina,BIH,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Bosnia and Herzegovina,BIH,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,16.4703174710621,..
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,18616018903.4434,..
Botswana,BWA,GDP (constant LCU),NY.GDP.MKTP.KN,96512986300,..
Botswana,BWA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,41962343769.8189,..
Botswana,BWA,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,21.5300006866455,21.7889995574951
Botswana,BWA,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,14.7950000762939,15.0340003967285
Botswana,BWA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17.9409999847412,18.1919994354248
Botswana,BWA,"Population, total",SP.POP.TOTL,2254126,..
Botswana,BWA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,..,..
Botswana,BWA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..
Botswana,BWA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.22387434629301,..
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1868626087908.48,..
Brazil,BRA,GDP (constant LCU),NY.GDP.MKTP.KN,4063152801860.78,..
Brazil,BRA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3371702373241.36,..
